z_m,n_m3,p_m3,E_fn_eV,E_fp_eV
2.1e-08,1.7960296789573286e+19,8.900092187369295e+19,1.9708762391128605,0.8277480710926212
2.1333333333333332e-08,1.8031633841992176e+19,8.935363761645583e+19,1.9443120514100327,0.8009791539511709
2.1666666666666665e-08,1.8096389128685355e+19,8.96737897991384e+19,1.9177380582589825,0.7742200256645106
2.2e-08,1.8154567069030881e+19,8.996140175549232e+19,1.8911543696734698,0.7474705762143221
2.233333333333333e-08,1.8206172076653173e+19,9.021649666477869e+19,1.8645610839981206,0.7207307072514302
2.2666666666666664e-08,1.8251208559426845e+19,9.043909755187728e+19,1.837958288279666,0.6940003317245632
2.3e-08,1.8289680919480562e+19,9.062922728739537e+19,1.8113460585917145,0.6672793735555828
2.3333333333333334e-08,1.8321593553200871e+19,9.078690858777572e+19,1.7847244603156436,0.6405677673585861
2.3666666666666667e-08,1.8346950851236047e+19,9.091216401540397e+19,1.7580935483798243,0.6138654582006852
2.4e-08,1.8365757198499908e+19,9.100501597871528e+19,1.7314533674590376,0.587172401402595
2.4333333333333333e-08,1.8378016974175664e+19,9.106548673230044e+19,1.704803952135601,0.5604885623774961
2.4666666666666666e-08,1.8383734551719727e+19,9.109359837701115e+19,1.6781453270234574,0.5338139165069546
2.5e-08,1.8382914298865545e+19,9.108937286006483e+19,1.6514775068561445,0.5071484490529532
2.5333333333333335e-08,1.8375560577627404e+19,9.105283197514849e+19,1.62480049653931,0.480492155105367
2.5666666666666665e-08,1.8361677744304255e+19,9.098399736252226e+19,1.5981142911681796,0.4538450395645047
2.5999999999999998e-08,1.8341270149483514e+19,9.0882890509122e+19,1.5714188760100924,0.4272071171585706
2.633333333333333e-08,1.831434213804487e+19,9.07495327486613e+19,1.5447142264519806,0.4005784124961831
2.6666666666666664e-08,1.82808980491641e+19,9.058394526173292e+19,1.518000307912399,0.37395896015434515
2.7e-08,1.8240942216316848e+19,9.038614907590946e+19,1.4912770757174438,0.34734880480252905
2.733333333333333e-08,1.8194478967282434e+19,9.015616506584338e+19,1.4645444749396184,0.3207480013638081
2.7666666666666666e-08,1.8141512624147638e+19,8.98940139533664e+19,1.4378024401984184,0.2941566152142687
2.7999999999999996e-08,1.8082047503310496e+19,8.959971630758819e+19,1.4110508954211123,0.26757472242223757
2.8333333333333332e-08,1.801608791548407e+19,8.927329254499446e+19,1.3842897535618426,0.2410024100291709
2.8666666666666662e-08,1.7943638165700237e+19,8.89147629295443e+19,1.3575189162768586,0.2144397763744309
2.8999999999999998e-08,1.786470255331347e+19,8.85241475727669e+19,1.3307382735532736,0.1878869314665208
2.9333333333333335e-08,1.7779285372004598e+19,8.810146643385767e+19,1.3039477032883542,0.16134399740380112
2.9666666666666664e-08,1.7687390909784586e+19,8.764673931977358e+19,1.2771470708158696,0.13481110884813874
3.0000000000000004e-08,1.7589023448998287e+19,8.715998588532793e+19,1.2503362283755246,0.10828841355546992
3.0333333333333334e-08,1.7484187266328224e+19,8.664122563328444e+19,1.2235150145209452,0.08177607296782363
3.066666666666667e-08,1.7372886632798325e+19,8.60904779144506e+19,1.1966832534610203,0.055274262871970015
3.1e-08,1.725512581377769e+19,8.550776192777057e+19,1.1698407543287193,0.028783174130610156
3.133333333333333e-08,1.7130909068984345e+19,8.489309672041708e+19,1.1429873103706665,0.0023030134927962687
3.1666666666666666e-08,1.7000240652488972e+19,8.424650118788309e+19,1.1161226980498506,-0.024165995508774407
3.1999999999999995e-08,1.6863124812718666e+19,8.356799407407243e+19,1.089246676052785,-0.05062361156491846
3.233333333333333e-08,1.6719565792460669e+19,8.285759397138999e+19,1.0623589841912384,-0.07706957449170271
3.266666666666666e-08,1.6569567828866105e+19,8.211531932083113e+19,1.0354593421872815,-0.10350360401548409
3.3e-08,1.6413135153453722e+19,8.134118841207056e+19,1.0085474483287933,-0.129925398428423
3.333333333333333e-08,1.6250271992113596e+19,8.053521938355044e+19,0.9816229779807567,-0.15633463309976903
3.3666666666666664e-08,1.6080982565110888e+19,7.969743022256795e+19,0.954685581935513,-0.1827309588261279
3.3999999999999993e-08,1.5905271087089529e+19,7.882783876536205e+19,0.9277348845827168,-0.20911400000140534
3.433333333333333e-08,1.5723141767075967e+19,7.79264626971997e+19,0.9007704818767941,-0.23548335258427322
3.466666666666666e-08,1.5534598808482867e+19,7.699331955246142e+19,0.8737919390763704,-0.261838581837591
3.4999999999999996e-08,1.5339646409112816e+19,7.602842671472612e+19,0.8467987882261279,-0.28817921981026884
3.533333333333333e-08,1.5138288761162037e+19,7.503180141685539e+19,0.8197905253468969,-0.31450476252735415
3.566666666666666e-08,1.493053005122409e+19,7.400346074107696e+19,0.7927666072942198,-0.3408146668485974
3.6e-08,1.4716374460293573e+19,7.29434216190677e+19,0.7657264482390592,-0.3671083469491635
3.633333333333333e-08,1.4495826163769807e+19,7.18517008320359e+19,0.7386694157164693,-0.39338517036829557
3.6666666666666664e-08,1.4268889331460538e+19,7.072831501080279e+19,0.711594826178636,-0.41964445356236413
3.6999999999999994e-08,1.403556812758562e+19,6.9573280635883586e+19,0.6845019399774188,-0.4458854568874001
3.733333333333333e-08,1.3795866710780697e+19,6.8386614037567726e+19,0.6573899556878434,-0.4721073789225959
3.7666666666666666e-08,1.3549789234100886e+19,6.716833139599855e+19,0.6302580036674698,-0.4983093500296667
3.7999999999999996e-08,1.3297339845024453e+19,6.59184487412523e+19,0.6031051387263443,-0.5244904250228031
3.833333333333333e-08,1.303852268545648e+19,6.463698195341648e+19,0.575930331757516,-0.550649574799194
3.866666666666666e-08,1.2773341891732552e+19,6.332394676266752e+19,0.5487324601476292,-0.5767856767496109
